Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid
Glyceria fluitans	Glyceria fluitans		1	Accepted	Glyceria fluitans	(L.) R. Br.	Poaceae	tropicos;usda	 	
Gmelina arborea	Gmelina arborea		1	Accepted	Gmelina arborea	Roxb.	Lamiaceae	tpl;usda	 	
Gmelina arborea	Gmelina arborea		1	No opinion				tpl	 	
Gmelina arborea	Gmelina arborea		1	Accepted	Gmelina arborea	Roxb. ex Sm.	Lamiaceae	tropicos	 	
Gmelina arborea	Gmelina arborea		1	Illegitimate		Roxb.	Lamiaceae	tropicos	 	
Gomphocarpus physocarpus	Gomphocarpus physocarpus		1	Accepted	Gomphocarpus physocarpus	E.Mey.	Apocynaceae	tpl	 	
Gomphocarpus physocarpus	Gomphocarpus physocarpus		1	Accepted	Gomphocarpus physocarpus	E. Mey.	Apocynaceae	tropicos	 	
Gomphocarpus physocarpus	Gomphocarpus physocarpus		1	Synonym	Asclepias physocarpa	(E. Mey.) Schltr.	Apocynaceae	usda	 	
Goniolimon tataricum	Goniolimon tataricum		1	Accepted	Goniolimon tataricum	(L.) Boiss.	Plumbaginaceae	tpl	 	
Goniolimon tataricum	Goniolimon tataricum		1	No opinion				tropicos	 	
Gracilaria salicornia	No suitable matches found.		0						 	
Gymnocoronis spilanthoides	Gymnocoronis spilanthoides		1	Accepted	Gymnocoronis spilanthoides	(D.Don ex Hook. & Arn.) DC.	Asteraceae	gcc	 	urn:lsid:compositae.org:names:528DFBC5-6A35-455A-91C6-49DDD10AC21A
Gymnocoronis spilanthoides	Gymnocoronis spilanthoides		1	Accepted	Gymnocoronis spilanthoides	(D. Don ex Hook. & Arn.) DC.	Asteraceae	tropicos	 	
Haematoxylum campechianum	Haematoxylum campechianum		1	Accepted	Haematoxylum campechianum	L.	Fabaceae	ildis;tropicos;usda	 	
Hakea drupacea	Hakea drupacea		1	No opinion	Hakea suaveolens	R.Br.	Proteaceae	tpl	 	
Hakea gibbosa	Hakea gibbosa		1	Accepted	Hakea gibbosa	Cav.	Proteaceae	tpl;tropicos	 	
Hakea sericea	Hakea sericea		1	Accepted	Hakea sericea	Schrad. & J.C.Wendl.	Proteaceae	tpl	 	
Hakea sericea	Hakea sericea		1	No opinion				tpl	 	
Hakea sericea	Hakea sericea		1	Accepted	Hakea sericea	Schrad. & J.C. Wendl.	Proteaceae	tropicos	 	
Halophila stipulacea	Halophila stipulacea		1	Accepted	Halophila stipulacea	(Forssk.) Asch.	Hydrocharitaceae	tpl;tropicos	 	
Hedychium flavescens	Hedychium flavescens		1	Accepted	Hedychium flavescens	Carey ex Roscoe	Zingiberaceae	tpl;tropicos;usda	 	
Hedychium flavescens	Hedychium flavescens		1	Synonym	Hedychium spicatum	Sm.	Zingiberaceae	tpl	 	
Hedychium flavescens	Hedychium flavescens		1	Illegitimate		Sm.	Zingiberaceae	tropicos	 	
Hedychium gardnerianum	Hedychium gardnerianum		1	Accepted	Hedychium gardnerianum	Sheppard ex Ker Gawl.	Zingiberaceae	tpl;tropicos	 	
Hedychium gardnerianum	Hedychium gardnerianum		1	No opinion				tpl	 	
Hedychium gardnerianum	Hedychium gardnerianum		1	Illegitimate				tropicos	 	
Hedychium gardnerianum	Hedychium gardnerianum		1	Accepted	Hedychium gardnerianum	Shepard ex Ker Gawl.	Zingiberaceae	usda	 	
Helianthus annuus	Helianthus annuus		1	Accepted	Helianthus annuus	L.	Asteraceae	gcc;tropicos;usda	 	urn:lsid:compositae.org:names:DA0661B3-CDA8-4DDE-B7F5-5266F9065E1F
Helminthotheca echioides	Helminthotheca echioides		1	Accepted	Helminthotheca echioides	(L.) Holub	Asteraceae	gcc	 	urn:lsid:compositae.org:names:7FC26C79-FC44-4BF0-899E-0FDA160BB81B
Helminthotheca echioides	Helminthotheca echioides		1	Synonym	Helminthotheca echioides	(L.) Holub	Asteraceae	gcc	 	urn:lsid:compositae.org:names:7FC26C79-FC44-4BF0-899E-0FDA160BB81B
Helminthotheca echioides	Helminthotheca echioides		1	Synonym	Picris echioides	L.	Asteraceae	tropicos	 	
Helminthotheca echioides	Helminthotheca echioides		1	Synonym	Picris echioides	L.	Asteraceae	usda	 	
Heterotis rotundifolia	Heterotis rotundifolia		1	Accepted	Heterotis rotundifolia	(Sm.) Jacq.-Fél.	Melastomataceae	tpl;tropicos	 	
Hevea brasiliensis	Hevea brasiliensis		1	Accepted	Hevea brasiliensis	(Willd. ex A.Juss.) Müll.Arg.	Euphorbiaceae	tpl	 	
Hevea brasiliensis	Hevea brasiliensis		1	Accepted	Hevea brasiliensis	(Willd. ex A. Juss.) Müll. Arg.	Euphorbiaceae	tropicos;usda	 	
Hevea brasiliensis	Hevea brasiliensis		1	Invalid				tropicos	 	
Hovenia dulcis	Hovenia dulcis		1	Accepted	Hovenia dulcis	Thunb.	Rhamnaceae	tpl;tropicos;usda	 	
Hura crepitans	Hura crepitans		1	Accepted	Hura crepitans	L.	Euphorbiaceae	tpl;tropicos;usda	 	
Hyoscyamus niger	Hyoscyamus niger		1	Accepted	Hyoscyamus niger	L.	Solanaceae	tpl;tropicos;usda	 	
Hyoscyamus pusillus	Hyoscyamus pusillus		1	Accepted	Hyoscyamus pusillus	L.	Solanaceae	tpl;tropicos	 	
Hypericum androsaemum	Hypericum androsaemum		1	Accepted	Hypericum androsaemum	L.	Hypericaceae	tpl;tropicos;usda	 	
Hypericum perforatum	Hypericum perforatum		1	Accepted	Hypericum perforatum	L.	Hypericaceae	tpl;tropicos;usda	 	
Hyptis suaveolens	Hyptis suaveolens		1	Accepted	Hyptis suaveolens	(L.) Poit.	Lamiaceae	tpl;usda	 	
Hyptis suaveolens	Hyptis suaveolens		1	Synonym	Mesosphaerum suaveolens	(L.) Kuntze	Lamiaceae	tropicos	 	
Ipomoea cairica	Ipomoea cairica		1	Accepted	Ipomoea cairica	(L.) Sweet	Convolvulaceae	tpl;tropicos;usda	 	
Ipomoea carnea	Ipomoea carnea		1	Accepted	Ipomoea carnea	Jacq.	Convolvulaceae	tpl;tropicos;usda	 	
Ipomoea hildebrandtii	Ipomoea hildebrandtii		1	No opinion				tpl;tropicos	 	
Ipomoea indica	Ipomoea indica		1	Accepted	Ipomoea indica	(Burm.) Merr.	Convolvulaceae	tpl;tropicos	 	
Ipomoea indica	Ipomoea indica		1	Accepted	Ipomoea indica	(Burm. f.) Merr.	Convolvulaceae	usda	 	
Ipomoea ochracea	Ipomoea ochracea		1	Accepted	Ipomoea ochracea	(Lindl.) G. Don	Convolvulaceae	tpl;tropicos;usda	 	
Isatis tinctoria	Isatis tinctoria		1	Accepted	Isatis tinctoria	L.	Brassicaceae	tpl;tropicos;usda	 	
Ischaemum rugosum	Ischaemum rugosum		1	Accepted	Ischaemum rugosum	Salisb.	Poaceae	tpl;tropicos;usda	 	
Ischaemum rugosum	Ischaemum rugosum		1	Illegitimate				tropicos	 	
Ischaemum timorense	Ischaemum timorense		1	Accepted	Ischaemum timorense	Kunth	Poaceae	tpl;tropicos;usda	 	
Ixora finlaysoniana	Ixora finlaysoniana		1	Accepted	Ixora finlaysoniana	Wall. ex G.Don	Rubiaceae	tpl	 	
Ixora finlaysoniana	Ixora finlaysoniana		1	Accepted	Ixora finlaysoniana	Wall. ex G. Don	Rubiaceae	tropicos;usda	 	
Jasminum dichotomum	Jasminum dichotomum		1	Accepted	Jasminum dichotomum	Vahl	Oleaceae	tpl;tropicos;usda	 	
Jasminum dichotomum	Jasminum dichotomum		1	Synonym	Jasminum nepalense	Spreng.	Oleaceae	tpl	 	
Jasminum dichotomum	Jasminum dichotomum		1	Illegitimate				tropicos	 	
Kalanchoe beharensis	Kalanchoe beharensis		1	Accepted	Kalanchoe beharensis	Drake	Crassulaceae	tpl;tropicos	 	
Kappaphycus	No suitable matches found.		0						 	
Kochia indica	Kochia indica		1	Synonym	Bassia indica	(Wight) A.J.Scott	Amaranthaceae	tpl	 	
Kochia indica	Kochia indica		1	Accepted	Kochia indica	Wight	Amaranthaceae	tropicos	 	
Kyllinga brevifolia	Kyllinga brevifolia		1	Accepted	Kyllinga brevifolia	Rottb.	Cyperaceae	tpl;tropicos;usda	 	
Kyllinga brevifolia	Kyllinga brevifolia		1	Synonym	Kyllinga gracillima	Miq.	Cyperaceae	tpl	 [Ambiguous match] 	
Kyllinga brevifolia	Kyllinga brevifolia		1	Synonym	Kyllinga melanosperma	Nees	Cyperaceae	tpl;tropicos	 [Ambiguous match] 	
Kyllinga brevifolia	Kyllinga brevifolia		1	Synonym	Rhynchospora berteroi	(Spreng.) C.B.Clarke	Cyperaceae	tpl	 [Ambiguous match] 	
Kyllinga brevifolia	Kyllinga brevifolia		1	Synonym	Kyllinga brevifolia var. leiolepis	(Franch. & Sav.) H. Hara	Cyperaceae	tropicos	 [Ambiguous match] 	
Kyllinga brevifolia	Kyllinga brevifolia		1	Illegitimate		(Spreng.) C.B.Clarke	Cyperaceae	tropicos	 [Ambiguous match] 	
Kyllinga polyphylla	Kyllinga polyphylla		1	Accepted	Kyllinga polyphylla	Willd. ex Kunth	Cyperaceae	tpl	 	
Kyllinga polyphylla	Kyllinga polyphylla		1	Accepted	Kyllinga polyphylla	Kunth	Cyperaceae	tropicos	 	
Lagarosiphon major	Lagarosiphon major		1	Accepted	Lagarosiphon major	(Ridl.) Moss	Hydrocharitaceae	tpl	 	
Lagarosiphon major	Lagarosiphon major		1	Accepted	Lagarosiphon major	Moss ex Wager	Hydrocharitaceae	tropicos	 	
Lagarosiphon major	Lagarosiphon major		1	Accepted	Lagarosiphon major	(Ridley) Moss	Hydrocharitaceae	usda	 	
Lampranthus multiradiatus	Lampranthus multiradiatus		1	Accepted	Lampranthus multiradiatus	(Jacq.) N.E.Br.	Aizoaceae	tpl	 	
Lampranthus multiradiatus	Lampranthus multiradiatus		1	Accepted	Lampranthus multiradiatus	(Jacq.) N.E. Br.	Aizoaceae	tropicos;usda	 	
Lappula barbata	Lappula barbata		1	Accepted	Lappula barbata	(M.Bieb.) Gürke	Boraginaceae	tpl	 	
Lappula barbata	Lappula barbata		1	Accepted	Lappula barbata	(M. Bieb.) Gürke	Boraginaceae	tropicos	 	
Lathyrus setifolius	Lathyrus setifolius		1	Accepted	Lathyrus setifolius	L.	Fabaceae	ildis	 [Ambiguous match] 	
Lathyrus setifolius	Lathyrus setifolius		1	No opinion				tropicos	 [Ambiguous match] 	
Lathyrus setifolius	Lathyrus setifolius		1	No opinion		L.	Fabaceae	tropicos	 [Ambiguous match] 	
Lawsonia inermis	Lawsonia inermis		1	Accepted	Lawsonia inermis	L.	Lythraceae	tpl;tropicos;usda	 	
Lepidium draba	Lepidium draba		1	Accepted	Lepidium draba	L.	Brassicaceae	tpl;tropicos	 	
Lepidium draba	Lepidium draba		1	Synonym	Cardaria draba	(L.) Desv.	Brassicaceae	usda	 	
Lepidium graminifolium	Lepidium graminifolium		1	Accepted	Lepidium graminifolium	L.	Brassicaceae	tpl;tropicos;usda	 	
Lepidium latifolium	Lepidium latifolium		1	Accepted	Lepidium latifolium	L.	Brassicaceae	tpl;tropicos;usda	 	
Leptospermum scoparium	Leptospermum scoparium		1	Accepted	Leptospermum scoparium	J.R.Forst. & G.Forst.	Myrtaceae	tpl	 	
Leptospermum scoparium	Leptospermum scoparium		1	Accepted	Leptospermum scoparium	J.R. Forst. & G. Forst.	Myrtaceae	tropicos;usda	 	
Leucaena diversifolia	Leucaena diversifolia		1	No opinion				tpl	 	
Leucaena diversifolia	Leucaena diversifolia		1	Accepted	Leucaena diversifolia	(Schltdl.)Benth.	Fabaceae	ildis	 	
Leucaena diversifolia	Leucaena diversifolia		1	Accepted	Leucaena diversifolia	(Schltdl.) Benth.	Fabaceae	tropicos	 	
Ligustrum obtusifolium	Ligustrum obtusifolium		1	Accepted	Ligustrum obtusifolium	Siebold & Zucc.	Oleaceae	tpl;tropicos;usda	 	
Ligustrum robustum subsp. walkeri	Ligustrum robustum subsp. walkeri		1	Accepted	Ligustrum robustum subsp. walkeri	(Decne.) P.S.Green	Oleaceae	tpl	 	
Ligustrum robustum subsp. walkeri	Ligustrum robustum subsp. walkeri		1	Accepted	Ligustrum robustum subsp. walkeri	(Decne.) P.S. Green	Oleaceae	tropicos	 	
Ligustrum vulgare	Ligustrum vulgare		1	Accepted	Ligustrum vulgare	L.	Oleaceae	tpl;tropicos;usda	 	
Limnobium laevigatum	Limnobium laevigatum		1	Accepted	Limnobium laevigatum	(Humb. & Bonpl. ex Willd.) Heine	Hydrocharitaceae	tpl;tropicos;usda	 	
Limnobium laevigatum	Limnobium laevigatum		1	Illegitimate				tropicos	 	
Linaria dalmatica	Linaria dalmatica		1	Accepted	Linaria dalmatica	(L.) Mill.	Plantaginaceae	tpl;tropicos;usda	 	
Lolium multiflorum	Lolium multiflorum		1	Accepted	Lolium multiflorum	Lam.	Poaceae	tpl;tropicos	 	
Lolium multiflorum	Lolium multiflorum		1	Synonym	Lolium perenne ssp. multiflorum	(Lam.) Husnot	Poaceae	usda	 	
Lolium rigidum	Lolium rigidum		1	Accepted	Lolium rigidum	Gaudin	Poaceae	tpl;tropicos;usda	 	
Lonchocarpus cyanescens	Lonchocarpus cyanescens		1	Synonym	Philenoptera cyanescens	(Schum. & Thonn.)Roberty	Fabaceae	ildis	 	
Lonchocarpus cyanescens	Lonchocarpus cyanescens		1	Synonym	Philenoptera cyanescens	(Schumach. & Thonn.) Roberty	Fabaceae	tropicos	 	
Lonchocarpus cyanescens	Lonchocarpus cyanescens		1	Accepted	Lonchocarpus cyanescens	(Schumach. & Thonn.) Benth.	Fabaceae	usda	 	
Lonchocarpus sericeus	Lonchocarpus sericeus		1	Accepted	Lonchocarpus sericeus	(Poir.)DC.	Fabaceae	ildis	 	
Lonchocarpus sericeus	Lonchocarpus sericeus		1	Accepted	Lonchocarpus sericeus	(Poir.) Kunth ex DC.	Fabaceae	tropicos	 	
Lonchocarpus sericeus	Lonchocarpus sericeus		1	Invalid				tropicos	 	
Lonchocarpus sericeus	Lonchocarpus sericeus		1	Synonym	Lonchocarpus domingensis	(Turp. ex Pers.) DC.	Fabaceae	usda	 	
Lonicera confusa	Lonicera confusa		1	Accepted	Lonicera confusa	DC.	Caprifoliaceae	tpl;tropicos	 	
Lotus cytisoides	Lotus cytisoides		1	Accepted	Lotus cytisoides	L.	Fabaceae	ildis;usda	 	
Lotus cytisoides	Lotus cytisoides		1	No opinion		L.	Fabaceae	tropicos	 	
Lotus drepanocarpus	Lotus drepanocarpus		1	Accepted	Lotus drepanocarpus	Durieu	Fabaceae	ildis	 	
Lotus drepanocarpus	Lotus drepanocarpus		1	No opinion		Durieu	Fabaceae	tropicos	 	
Ludwigia hyssopifolia	Ludwigia hyssopifolia		1	Accepted	Ludwigia hyssopifolia	(G.Don) Exell	Onagraceae	tpl	 	
Ludwigia hyssopifolia	Ludwigia hyssopifolia		1	Accepted	Ludwigia hyssopifolia	(G. Don) Exell	Onagraceae	tropicos	 	
Ludwigia hyssopifolia	Ludwigia hyssopifolia		1	Accepted	Ludwigia hyssopifolia	(G. Don) Exell apud A.R. Fernandes	Onagraceae	usda	 	
Luffa acutangula	Luffa acutangula		1	Accepted	Luffa acutangula	(L.) Roxb.	Cucurbitaceae	tpl;tropicos;usda	 	
Lycium ferocissimum	Lycium ferocissimum		1	Accepted	Lycium ferocissimum	Miers	Solanaceae	tpl;tropicos;usda	 	
Malva pusilla	Malva pusilla		1	Accepted	Malva pusilla	Sm.	Malvaceae	tpl;tropicos;usda	 	
Malva sylvestris	Malva sylvestris		1	Accepted	Malva sylvestris	L.	Malvaceae	tpl;tropicos;usda	 	
Marrubium vulgare	Marrubium vulgare		1	Accepted	Marrubium vulgare	L.	Lamiaceae	tpl;tropicos;usda	 	
Marrubium vulgare	Marrubium vulgare		1	Illegitimate				tropicos	 	
Marsilea minuta	Marsilea minuta		1	Accepted	Marsilea minuta	L.	Marsileaceae	tpl;tropicos;usda	 	
Marsilea minuta	Marsilea minuta		1	Synonym	Marsilea vestita	Hook. & Grev.	Marsileaceae	usda	 	
Martynia annua	Martynia annua		1	Accepted	Martynia annua	L.	Martyniaceae	tpl;tropicos;usda	 	
Matthiola longipetala	Matthiola longipetala		1	Accepted	Matthiola longipetala	(Vent.) DC.	Brassicaceae	tpl;tropicos;usda	 	
Matthiola lunata	Matthiola lunata		1	Accepted	Matthiola lunata	DC.	Brassicaceae	tpl;tropicos	 	
Medicago coronata	Medicago coronata		1	Accepted	Medicago coronata	(L.)Bartal.	Fabaceae	ildis	 	
Medicago coronata	Medicago coronata		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago coronata	Medicago coronata		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago coronata	Medicago coronata		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago italica	Medicago italica		1	Synonym	Medicago tornata subsp. helix	(Willd.)Ooststr. & Reichg.	Fabaceae	ildis	 	
Medicago italica	Medicago italica		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago italica	Medicago italica		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago italica	Medicago italica		1	Accepted	Medicago italica	(Mill.) Fiori	Fabaceae	usda	 	
Medicago monspeliaca	Medicago monspeliaca		1	Accepted	Medicago monspeliaca	(L.)Trautv.	Fabaceae	ildis	 	
Medicago monspeliaca	Medicago monspeliaca		1	Synonym	Trigonella monspeliaca	L.	Fabaceae	tropicos	 	
Medicago monspeliaca	Medicago monspeliaca		1	Accepted	Medicago monspeliaca	(L.) Trautv.	Fabaceae	usda	 	
Medicago murex	Medicago murex		1	Accepted	Medicago murex	Willd.	Fabaceae	ildis;usda	 	
Medicago murex	Medicago murex		1	No opinion		Willd.	Fabaceae	tropicos	 	
Medicago rigidula	Medicago rigidula		1	Accepted	Medicago rigidula		Fabaceae	tpl	 	
Medicago rigidula	Medicago rigidula		1	Accepted	Medicago rigidula	(L.)All.	Fabaceae	ildis	 	
Medicago rigidula	Medicago rigidula		1	Accepted	Medicago rigidula	(L.) All.	Fabaceae	tropicos;usda	 	
Medicago rigidula	Medicago rigidula		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago rigidula	Medicago rigidula		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago rigidula	Medicago rigidula		1	No opinion				tropicos	 [Ambiguous match] 	
Medicago rigidula	Medicago rigidula		1	No opinion				tropicos	 [Ambiguous match] 	
Melastoma malabathricum	Melastoma malabathricum		1	Accepted	Melastoma malabathricum	L.	Melastomataceae	tpl;tropicos;usda	 	
Mentha aquatica	Mentha aquatica		1	Accepted	Mentha aquatica	L.	Lamiaceae	tpl;tropicos;usda	 	
Mentha cervina	Mentha cervina		1	Accepted	Mentha cervina	L.	Lamiaceae	tpl	 	
Mentha cervina	Mentha cervina		1	Synonym	Preslia cervina	(L.) Fresen.	Lamiaceae	tropicos	 	
Mentha pulegium	Mentha pulegium		1	Accepted	Mentha pulegium	L.	Lamiaceae	tpl;tropicos;usda	 	
Merremia peltata	Merremia peltata		1	Accepted	Merremia peltata	(L.) Merr.	Convolvulaceae	tpl;tropicos	 	
Mesembryanthemum crystallinum	Mesembryanthemum crystallinum		1	Accepted	Mesembryanthemum crystallinum	L.	Aizoaceae	tpl;tropicos;usda	 	
Miconia calvescens	Miconia calvescens		1	Accepted	Miconia calvescens	DC.	Melastomataceae	tpl;tropicos;usda	 	
Microlaena stipoides	Microlaena stipoides		1	Synonym	Ehrharta stipoides	Labill.	Poaceae	tpl	 	
Microlaena stipoides	Microlaena stipoides		1	Accepted	Microlaena stipoides	(Labill.) R. Br.	Poaceae	tropicos;usda	 	
Mimosa diplotricha	Mimosa diplotricha		1	No opinion				tpl	 	
Mimosa diplotricha	Mimosa diplotricha		1	Accepted	Mimosa diplotricha	Sauvalle	Fabaceae	ildis	 	
Mimosa diplotricha	Mimosa diplotricha		1	Accepted	Mimosa diplotricha	C. Wright ex Sauvalle	Fabaceae	tropicos	 	
Mimosa diplotricha	Mimosa diplotricha		1	Invalid				tropicos	 	
Mimosa diplotricha	Mimosa diplotricha		1	Accepted	Mimosa diplotricha	C. Wright	Fabaceae	usda	 	
Montanoa hibiscifolia	Montanoa hibiscifolia		1	Accepted	Montanoa hibiscifolia	Benth.	Asteraceae	gcc;tropicos	 	urn:lsid:compositae.org:names:90828843-88C6-40B8-9522-F162386EC84A
Montanoa hibiscifolia	Montanoa hibiscifolia		1	Synonym	Montanoa hibiscifolia	Benth.	Asteraceae	gcc	 	urn:lsid:compositae.org:names:90828843-88C6-40B8-9522-F162386EC84A
Montanoa hibiscifolia	Montanoa hibiscifolia		1	Illegitimate	Montanoa hibiscifolia	Benth.	Asteraceae	gcc;tropicos	 [Ambiguous match] 	urn:lsid:compositae.org:names:90828843-88C6-40B8-9522-F162386EC84A
Montanoa hibiscifolia	Montanoa hibiscifolia		1	Illegitimate				tropicos	 [Ambiguous match] 	
Montanoa hibiscifolia	Montanoa hibiscifolia		1	Accepted	Montanoa hibiscifolia	(Benth.) Standl.	Asteraceae	usda	 	
Moorochloa eruciformis	Moorochloa eruciformis		1	Synonym	Brachiaria eruciformis	(Sm.) Griseb.	Poaceae	tpl;tropicos	 	
Moraea collina	Moraea collina		1	Accepted	Moraea collina	Thunb.	Iridaceae	tpl;tropicos;usda	 	
Moraea miniata	Moraea miniata		1	Accepted	Moraea miniata	Andrews	Iridaceae	tpl;usda	 	
Moraea miniata	Moraea miniata		1	No opinion				tpl	 	
Moraea miniata	Moraea miniata		1	Accepted	Moraea miniata	N. Andr.	Iridaceae	tropicos	 	
Moraea miniata	Moraea miniata		1	No opinion		Andrews	Iridaceae	tropicos	 	
Morus nigra	Morus nigra		1	Accepted	Morus nigra	L.	Moraceae	tpl;tropicos;usda	 	
Muscari neglectum	Muscari neglectum		1	Accepted	Muscari neglectum	Guss. ex Ten.	Asparagaceae	tpl;tropicos;usda	 	
Myosotis arvensis	Myosotis arvensis		1	Accepted	Myosotis arvensis	(L.) Hill	Boraginaceae	tpl;tropicos;usda	 	
Myroxylon balsamum	Myroxylon balsamum		1	Accepted	Myroxylon balsamum	(L.)Harms	Fabaceae	ildis	 	
Myroxylon balsamum	Myroxylon balsamum		1	Accepted	Myroxylon balsamum	(L.) Harms	Fabaceae	tropicos;usda	 	
Myroxylon balsamum	Myroxylon balsamum		1	Illegitimate				tropicos	 	
Nasturtium microphyllum	Nasturtium microphyllum		1	Accepted	Nasturtium microphyllum	(Boenn. ex Rchb.) Rchb.	Brassicaceae	tpl	 	
Nasturtium microphyllum	Nasturtium microphyllum		1	Accepted	Nasturtium microphyllum	Boenn. ex Rchb.	Brassicaceae	tropicos;usda	 	
Neomarica caerulea	Neomarica caerulea		1	Accepted	Neomarica caerulea	(Ker Gawl.) Sprague	Iridaceae	tpl;tropicos;usda	 	
Neonotonia wightii	Neonotonia wightii		1	Accepted	Neonotonia wightii	(Wight & Arn.)J.A.Lackey	Fabaceae	ildis	 	
Neonotonia wightii	Neonotonia wightii		1	Accepted	Neonotonia wightii	(Graham ex Wight & Arn.) J.A.Lackey	Fabaceae	tropicos	 	
Neonotonia wightii	Neonotonia wightii		1	Accepted	Neonotonia wightii	(Wight & Arn.) Lackey	Fabaceae	usda	 	
Nicandra physalodes	Nicandra physalodes		1	Accepted	Nicandra physalodes	(L.) Gaertn.	Solanaceae	tpl;tropicos	 	
Nicandra physalodes	Nicandra physalodes		1	Accepted	Nicandra physalodes	(L.) Scop.	Solanaceae	usda	 	
Nigella hispanica	Nigella hispanica		1	Accepted	Nigella hispanica	L.	Ranunculaceae	tpl;usda	 	
Nigella hispanica	Nigella hispanica		1	No opinion		L.	Ranunculaceae	tropicos	 	
Noaea mucronata	Noaea mucronata		1	Accepted	Noaea mucronata	(Forssk.) Asch. & Schweinf.	Amaranthaceae	tpl	 	
Noaea mucronata	Noaea mucronata		1	Accepted	Noaea mucronata	Aschers. & Schweinf.	Amaranthaceae	tropicos	 	
Nypa fruticans	Nypa fruticans		1	Accepted	Nypa fruticans	Wurmb	Arecaceae	tpl;tropicos;usda	 	
Ocimum tenuiflorum	Ocimum tenuiflorum		1	Accepted	Ocimum tenuiflorum	L.	Lamiaceae	tpl;tropicos;usda	 [Ambiguous match] 	
Ocimum tenuiflorum	Ocimum tenuiflorum		1	No opinion				tpl	 [Ambiguous match] 	
Ocimum tenuiflorum	Ocimum tenuiflorum		1	Accepted	Ocimum tenuiflorum	Burm. f.	Lamiaceae	tropicos	 [Ambiguous match] 	
Olea europaea subsp. cuspidata	Olea europaea subsp. cuspidata		1	Accepted	Olea europaea subsp. cuspidata	(Wall. & G.Don) Cif.	Oleaceae	tpl	 	
Olea europaea subsp. cuspidata	Olea europaea subsp. cuspidata		1	Accepted	Olea europaea subsp. cuspidata	(Wall. ex G. Don) Cif.	Oleaceae	tropicos	 	
Olea europaea subsp. europaea	Olea europaea subsp. europaea		1	Synonym	Olea europaea	L.	Oleaceae	tpl	 	
Olea europaea subsp. europaea	Olea europaea subsp. europaea		1	Accepted	Olea europaea subsp. europaea		Oleaceae	tropicos	 	
Ononis natrix	Ononis natrix		1	Accepted	Ononis natrix	L.	Fabaceae	ildis;tropicos;usda	 	
Onopordum acaulon	Onopordum acaulon		1	Accepted	Onopordum acaulon	L.	Asteraceae	gcc;usda	 	urn:lsid:compositae.org:names:B13BC57E-20E4-406D-A9AF-E7725BECE389
Onopordum acaulon	Onopordum acaulon		1	No opinion		L.	Asteraceae	tropicos	 	urn:lsid:compositae.org:names:B13BC57E-20E4-406D-A9AF-E7725BECE389
Oplismenus hirtellus subsp. undulatifolius	Oplismenus hirtellus subsp. undulatifolius		1	Synonym	Oplismenus undulatifolius	(Ard.) Roem. & Schult.	Poaceae	tpl	 	
Oplismenus hirtellus subsp. undulatifolius	Oplismenus hirtellus subsp. undulatifolius		1	Accepted	Oplismenus hirtellus subsp. undulatifolius	(Ard.) U. Scholz	Poaceae	tropicos	 	
Opuntia aurantiaca	Opuntia aurantiaca		1	Accepted	Opuntia aurantiaca	Lindl.	Cactaceae	tpl;tropicos;usda	 	
Opuntia cochenillifera	Opuntia cochenillifera		1	No opinion				tpl	 	
Opuntia cochenillifera	Opuntia cochenillifera		1	Synonym	Nopalea cochenillifera	(L.) Salm-Dyck	Cactaceae	tropicos	 	
Opuntia cochenillifera	Opuntia cochenillifera		1	Illegitimate				tropicos	 	
Opuntia cochenillifera	Opuntia cochenillifera		1	Accepted	Opuntia cochenillifera	(L.) Mill.	Cactaceae	usda	 	
Opuntia elatior	Opuntia elatior		1	Accepted	Opuntia elatior	Mill.	Cactaceae	tpl;tropicos	 	
Opuntia engelmannii	Opuntia engelmannii		1	Accepted	Opuntia engelmannii	Salm-Dyck ex Engelm.	Cactaceae	tpl;tropicos;usda	 [Ambiguous match] 	
Opuntia engelmannii	Opuntia engelmannii		1	Accepted	Opuntia engelmannii	Salm-Dyck	Cactaceae	tropicos	 [Ambiguous match] 	
Opuntia humifusa	Opuntia humifusa		1	Accepted	Opuntia humifusa	(Raf.) Raf.	Cactaceae	tpl;tropicos;usda	 	
Opuntia microdasys	Opuntia microdasys		1	Accepted	Opuntia microdasys	(Lehm.) Pfeiff.	Cactaceae	tpl;tropicos	 	
Opuntia microdasys	Opuntia microdasys		1	Accepted	Opuntia microdasys	(Lehm.) N.E. Pfeiffer	Cactaceae	usda	 	
Ornithopus compressus	Ornithopus compressus		1	Accepted	Ornithopus compressus	L.	Fabaceae	ildis;tropicos;usda	 	
Ornithopus compressus	Ornithopus compressus		1	No opinion				tropicos	 	
Orobanche	Orobanche		1	Accepted	Orobanche		Orobanchaceae	tpl	 	
Orobanche	Orobanche		1	No opinion				tpl	 [Ambiguous match] 	
