Species,Synonyms,Common name,Horizon scan team,Functional group,Native range,Environment,Likely pathway of arrival,Pathway justification,Arrival score,Arrival certainty,Arrival justification,ReferencArrival referenceses,Establishment score,Establishment certainty,Establishment justification,Establishment references,Impacts score,Impacts certainty,Impacts justification,Impacts references,Overall score,Overall certainty,Overall comments,Overall references,Assessor ,Date assessed,Reviewer,Date reviewed
Anthoxanthum odoratum,,weet vernal grass,Plant,Primary producer,Eurasia; North Africa,T,escape from containment; transport-stoway,"Used as a lawn grass and house plant, due to its sweet scent",4,Medium ,"Turfgrass is a major industry in Florida. It has also been introduced to many areas within the United States. It produces large amount of seeds, that are viable for years. ",CABI Crop Compendium online data sheet. Anthoxanthum odoratum. CABI Publishing 2020. www.cabi.org/CPC. Accessed April 2020,4,Medium,"Widely distributed in temperate area, also found in tropical areas. Establishes in unimproved pastures and meadows",https://www.gbif.org/species/2705975,3,Low,Prevents re-establishment of native species in grasslands. Does not completely displace species. Thought to impact abundance of rare clover species in New Zealand,,48,,,,Canavan,,Anderson,
Poa nemoralis,none (but USDA lists ssp. interior = inland bluegrass and ssp. nemoralis = wood bluegrass),see synonyms,Plant,Primary producer,"inland: US native; wood: Europe, Asia (USDA)",T,Escape from confinement,Shade tolerant lawn; forage,1,High,Many more suitable turf and forage grasses available; not ornamental,https://www.cabi.org/isc/datasheet/120579; USDA,2,Medium,Apomictic seeds but CABI range description suggests it needs cold winters,CABI,1,Medium,"Not well suited to FL based on current distribution; seems unlikey that it would be weedy enough to have an effect on ecosystem, diversity, etc.",CABI; USDA,2,Low,ssp. interior listed as native by USDA; ssp. nemoralis considered introduced; neither is present in the SE US; many other turf and forage grasses are available that are better suited to FL's climate and conditions; no good reason anyone would introduce these taxa to FL and they seem to like cold winters so they would be unlikey to establish,,Gettys,4/21/20,Anderson,
Cirsium arvense,,Creeping thistle,Plant,Primary producer,Europe,T,"transport contamimant, transport stowaway, corridor, unaided","Listed as a noxious weed in much of the US where it is invasive.  So unlikely for purposeful introduction. However, it is dispersed via wind and is often disperesed via contaminated crop seeds and other attaching to ag equipment.  Produces a lot of seed. Noted that human activity is more important in dispersal than biological (CABI)",5,High,"With the amount of agricultural trade ongoing between Florida and other states and because of the degree to which seed, tubers contaminate ag products, the likeliness for propagule arrival seems high.  Also disperses via multiple mechanisms. On Dave's garden, people are wanting to get or trade this species (https://davesgarden.com/guides/pf/go/32161/)","CABI, andDave's Garden",2,Medium,"This species is adapted to temperate regions and high summer temps may act as a barrier to establishment. Although, Daves' Garden list the species as tollerant of hardiness zones ranging from 3a-10b. Regarding soils, it can grow in at least some the soils of Florida. It is also drought tollerant.  Given the degree to which this species has already dispersed throughout the US and the agricultural trade among US states, I feel like this species would have established if it could have. ","CABI, Hoefer RH, 1981. Growth and development of Canada thistle. Proceedings North Central Weed Control Conference, 36:153-157., ",4,High,"Very costly to crop production, allelopathic, crowds out native species, forms hybrids with native Cirsium spp. Can cause community level impacts and alter abiotic aspects via allelopathy, also very costly to crops.  However, impacts are reversible",CABI,40,,"I found no real evidence of this species being a real threat, but the information on it was scarce.  It was listed in studies as components of the community but seems to be a minor component.  ",,Iannone,4/11/20,Anderson,
Scrophularia auriculata,,"water figwort, shoreline figwort",Plant,Primary producer,western Europe (Portugal),T,escape from confinement,ornamental,2,Medium,"Variegated variety sold at nurseries in OR, WA, CT, and it is suggested as a gardening plant in the Pacific Northwest. Only recorded in NY within the U.S. Naturalized in Chile, the U.S., Tasmania, New South Wales, New Zealand, Britain, and Ireland. ",https://davesgarden.com/products/ps/search.php?search_text=Scrophularia+auriculata&submit=Search; https://www.greatplantpicks.org/plantlists/view/1425; https://plants.sc.egov.usda.gov/core/profile?symbol=SCAU7; http://www.hear.org/gcw/species/scrophularia_auriculata/,4,Medium,"Located in northern Africa and western Europe. Inhabits aquatic habitats, including the edges of rivers and ponds. It prefers full sun, but can grow in partial shade. Perennial species. USDA zones 7-10 or 6-9",https://www.cabi.org/isc/datasheet/116998; https://davesgarden.com/guides/pf/showimage/111890/; https://en.wikipedia.org/wiki/Scrophularia_auriculata;  https://plants.sc.egov.usda.gov/core/profile?symbol=SCAU7; https://www.greatplantpicks.org/plantlists/view/1425; https://www.quackingrassnursery.com/plant/Scrophularia-auriculata-Variegata,1,High,Only mentioned as a weed in one publication in GCW (in Denmark). Non-weedy in Portugal. Endangered in Switzerland. General lack of information about this species being problematic.,"http://www.hear.org/gcw/species/scrophularia_auriculata/; Bernez, Ivan, et al. ""Invasive river plants from Portuguese floodplains: What can species attributes tell us?."" Macrophytes in Aquatic Ecosystems: From Biology to Management. Springer, Dordrecht, 2006. 3-9; https://www.infoflora.ch/en/flora/scrophularia-auriculata.html",8,Medium,"The species could probably grow well in Florida based on climate and aquatic habitats, but it is not likely to arrive intentionally (not suggested for use) or unintentionally (not a big seed producer). Even if it does arrive, there are no indications that it would have any impact.",,Kendig,4/8/20,Anderson,
Matricaria discoidea,"Lepidotheca suaveolens, Matricaria matricarioides, Artemisia matricarioides, Chamomilla suaveolens, Lepidanthus suaveolens, Santolina suaveolens, Tanacetum suaveolens","pineappleweed, wild chamomile, disc mayweed, rayless chamomile",Plant,Primary producer,"disputed: introduced to the U.S. on Plants Databse, but descrbied as native to the northwest on eFlora. eFlora explanation is that it is ""ruderal even in its native range"". Non-northwestern states consider it invasive.",,"transport-stowaway, escape from confinement",may be transported on vehicles or planted,3,Low,"Scented flowers, attractive to pollinators. Seeds available online. Present everywhere in the lower 48, except FL, AL, and GA. Recorded in SC in 2000, NC in 1991. Used as a medicinal and aromatic plant. May have been spreading throughout the U.S. for a while.",https://davesgarden.com/guides/pf/go/53507/; https://www.farmacieisolde.com/perennials/pineapple-weed; https://plants.sc.egov.usda.gov/core/profile?symbol=MADI6; https://www.gbif.org/species/3103791; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242331665; https://uswildflowers.com/detail.php?SName=Matricaria%20discoidea,2,Low,"Drought-tolerant annual. Occurrences do not overlap with Koppen-Geiger zones, but there are some in wamer areas, like central America and the southwest. Described as a winter species.","https://davesgarden.com/guides/pf/go/53507/; https://www.gbif.org/species/3103791; Andreasen, Christian, and Jens Carl Streibig. ""Evaluation of changes in weed flora in arable fields of Nordic countries–based on Danish long‐term surveys."" Weed Research 51.3 (2011): 214-226.",2,Low,Listed in AK and the Pactiifc NW. Listed as an agricultural weed in a couple contexts. Resistant to an herbicide used in the UK. May lack the ability to invade native areas (more of an agricultural weed). Temporal variation in when it shows up in agricultural fields.,"https://www.invasive.org/browse/subinfo.cfm?sub=5987; http://www.hear.org/gcw/species/matricaria_discoidea/; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242331665; https://www.nps.gov/articles/dena-factsheet-invasives.htm; Andreasen, Christian, and Jens Carl Streibig. ""Evaluation of changes in weed flora in arable fields of Nordic countries–based on Danish long‐term surveys."" Weed Research 51.3 (2011): 214-226.; Tyšer, L., et al. ""Changes in weed communities on selected areas with 30 years’ interval."" Scientia Agriculturae Bohemica 40.1 (2009): 18-25.; Eyre, M. D., et al. ""Crop sequence, crop protection and fertility management effects on weed cover in an organic/conventional farm management trial."" European Journal of Agronomy 34.3 (2011): 153-162.",12,Low,"Widespread in the U.S., so likely to arrive to FL, but it's not clear that it could establish or that it would have much effect. The references that describe it as an agricultural weed group it with several other species, so it doesn't seem to stand out as particularly bad weed.",,Kendig,5/1/20,Anderson,
Myosotis scorpioides,Myosotis sylvatica,wood forget-me-not,Plant,Primary producer,"Asia Temperate and Tropical, Europe (northern, middle, eastern, southeastern, and southwestern)",T,"Escape from Confinement, transport contaminant  ",Ornamental and a potential seed contaminant (GRIN) ,5,High,Available in the nursery industry. human activities can be implicated in its accidental (hitchhikers)  and intentional dispersal. Seeds are sctivley available online.,"GRIN, CAL IPC",3,Medium,"Suitable to Zones 3a to 8b (climate match to north Florida). Visual Köppen match using GBIF point data, possible to Cfa, but this appears to be ats the southern limit of distribution. Thrives in disturbed habitats and aggressively spreads without managment. Spreads both vegetatively and by seeds. Seeds remain viable for >3years Dense infestations produce >1,000 viable seed per square meter (CAL-IPC)",Dave's Garden https://davesgarden.com/guides/pf/go/233/#b; GBIF https://www.gbif.org/species/5341175; al-IPC https://www.cal-ipc.org/plants/paf/myosotis-latifolia-plant-assessment-form/,3,Medium,"Cal-IPC did full assessment and found the following impacts: reduction in native ground cover (1). Myosotis is an invader of the understory along roads and trails, and once established, spreads into less disturbed adjacenty native plant communities (2). 1. At Muir Woods National Monument, it was found that M. latifolia was the dominant forest floor cover prior to removal. Following removal, there was a noticeable increase in uncommon native plants including trillium, clintonia, fetid-adderstongue, starflower, etc. (Monroe)
Reduction of habitat for invertebrates, small mammals and birds Muir Woods National Monument has experienced rebounds of plant diversity after removing monocultures of forget-me-nots. Since different plants are often required at various stages of the life cycle for different animals, it is suspected that habitat for many animals may be reduced by M. latifolia, although no known research has been done at this point. [Hypothetical arguments should be discarded. - PJW]
",https://www.cal-ipc.org/plants/paf/myosotis-latifolia-plant-assessment-form/,45,Medium,"While there was not a lot of specific information about this plant regarding invasiveness, the CAL IPC assessment was very helpful in completeing this assessment. I list a medium for certainty because it is not clear if this species would proliferate aggressively in Florida. I beleive northern to central Florida is the southernmost limit to this species geopotential ",,Lieurance,,Anderson,
Malva moschata,,Musk mallow,Plant,Primary producer,Europe to West Turkey,T,1. Escape from confinement,1. Wild type and cultivars are available commercially  1. Betrock Information Systems Inc.; https://www.plantsearch.com/new/search_plants.cfm?advq=Malva%20moschata&advV=0  1. PlantScout by Dave's Garden; PlantScout by Dave's Garden; https://davesgarden.com/products/ps/search.php?search_text=Malva+moschata&submit=Go,3,Low,"1. Malva moschata is not currently in the southeastern U.S., but it has naturalized in the northeastern U.S..  2. Musk mallow is planted as an ornamental and occasionally used as a food plant.  3. This species frequently escapes from cultivation to nearby disturbed areas.  4. Seeds can be potentially spread by attaching externally through hairs on schizocarp and production of a sticky mucilage.","1. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=MAMO2  1,3-4. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=242416822  2. Dave's Garden; https://davesgarden.com/guides/pf/go/1179/  2. PFAF Plant Database; https://pfaf.org/user/plant.aspx?LatinName=Malva+moschata  3. Global Compendium of Weeds; http://www.hear.org/gcw/species/malva_moschata/  4. Nature Picture Library; https://www.naturepl.com/stock-photo-seeds-of-musk-mallow-malva-moschata--europe-in-damp-weather-musk-image01140374.html",4,Medium,"1. Malva moschata is tolerant to USDA Zones 3-10, but it's current distribution in the U.S. is in zones below 8 and high temperatures may decrease fitness of the plants.  2. Musk mallow prefers disturbed areas such as fields and roadsides.  3. This species self-sows if left undisturbed.  4. Seeds readily germinate and up to 75 flowers have been documented on a single individual plant, indicating a potential for high viable seed production.  5. In North America, musk mallow is naturalized in temperate northern and coastal areas, and is an invasive species in West Virginia.  6. While this species is considered an agricultural weed in Canada, it is not generally a pest in production systems and we found no evidence of control efforts.  7. Globally, Malva moschata has naturalized in Denmark, Japan, Australia, New Zealand, Chile, and the UK, and is a general weed in a number of other countries. ","1,3-4. Dave's Garden; https://davesgarden.com/guides/pf/go/1179/  1. PFAF Plant Database; https://pfaf.org/user/plant.aspx?LatinName=Malva+moschata  1. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=MAMO2  2,5. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=242416822  2. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/malva/moschata/  3. Missouri Botanical Garden; http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=282567&isprofile=1&basic=Malva%20moschata  4,6. Foote, 2006, New York Flora Association Newsletter; https://www.nyflora.org/public_html/newsletterarchive/NYFA_Newsletter_Vol_17_1_2006.pdf  5. Center for Invasive Species and Ecosystem Health; https://www.invasive.org/browse/subinfo.cfm?sub=18753  6-7. Global Compendium of Weeds; http://www.hear.org/gcw/species/malva_moschata/",1,Low,"1. Malva moschata is known to hybridize with other species in the genus Malva, but no evidence of invasion risk with hybrids was found.  2. Musk mallow has a clumping growth form, which could potentially negatively impact other species.  3. This species also has a deep taproot, which could make it difficult to remove.  4. No specific evidence of negative ecological or social impacts were found even with it's widespread naturalization; one source notes that this is likely because musk mallow is not a pest of agriculture and only grows in disturbed areas.","1. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=242416822  2. PFAF Plant Database; https://pfaf.org/user/plant.aspx?LatinName=Malva+moschata  3-4. Foote, 2006, New York Flora Association Newsletter; https://www.nyflora.org/public_html/newsletterarchive/NYFA_Newsletter_Vol_17_1_2006.pdf",12,Low,"Malva moschata is a widespread weedy species that commonly escapes cultivation, but does not have documented impacts. Musk mallow has a climatic tolerance suitable to Florida and is an available ornamental plant, but it is not found in the southeastern U.S. The species is primarily found in disturbed areas and is generally not considered an agricultural pest. We gave this assessment 'low' certainty as there was limited information about this species even with it's broad distribution.","1. Dave's Garden; https://davesgarden.com/guides/pf/go/1179/  2. Global Compendium of Weeds; http://www.hear.org/gcw/species/malva_moschata/  3. PFAF Plant Database; https://pfaf.org/user/plant.aspx?LatinName=Malva+moschata  4. Foote, 2006, New York Flora Association Newsletter; https://www.nyflora.org/public_html/newsletterarchive/NYFA_Newsletter_Vol_17_1_2006.pdf",Petri (for Flory),4/24/20,Anderson,
Achillea ptarmica,,Sneezewort,Plant,Primary producer,Europe,T,1. Escape from confinement  2. Transport- Contaminant,"1. Dave's Garden; https://davesgarden.com/guides/pf/go/53525/  1. PlantScout by Dave's Garden; https://davesgarden.com/products/ps/search.php?search_text=Achillea+ptarmica&submit=Search  2. Mukula et al., 1969; https://jukuri.luke.fi/bitstream/handle/10024/469483/mtt-aaf-v8-n2.pdf?sequence=1",3,Low,"1. Achillea ptarmica is currently limited to the northern half of North America.  2. Sneezewort is readily available as an ornamental, is popular in floral arrangements, and has been known to escape from cultivation.  3. Cultivars of this species have also be found outside of cultivation.  4. This species is an agricultural weed of cereal crops fields.  5. Seeds of this species have also been found rooted in cattle dung.","1. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=ACPT  2. Dave's Garden; https://davesgarden.com/guides/pf/go/53525/  2. PlantScout by Dave's Garden; https://davesgarden.com/products/ps/search.php?search_text=Achillea+ptarmica&submit=Search  2. Klein, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Achillea_ptarmica_BIO_ACPT.pdf  3. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/achillea/ptarmica/  3. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=250066004  4. Mukula et al., 1969; https://jukuri.luke.fi/bitstream/handle/10024/469483/mtt-aaf-v8-n2.pdf?sequence=1  4. Global Compendium of Weeds; http://www.hear.org/gcw/species/achillea_ptarmica/  5. Welch, 1985; https://www.jstor.org/stable/2403178?seq=1#metadata_info_tab_contents",4,Medium,"1. Achillea ptarmica is tolerant to USDA Zones 3-9, but its current distribution in the US is limited to Zone 6.  2. Sneezewort prefers habitats that have full sun on roadsides, disturbed sites, open fields and pastures, meadows, forest edges, and coastlines.  3. This species can also tolerates deer, drought, and dry or shallow-rocky soil.  4. This species reproduces by seed and vegetatively through rhizomes.  5. Flowers of Achillea ptarmica are self-fertile and pollinated by bees and flies.  6. This species can flower in as little as three months after germination.  7. Multiple gardeners on Dave's Garden commented that this species spreads and fills in any space it is given.  8. Sneezewort is widely naturalized in northern North America, Japan, Norway, Finland, New Zealand, Chile, and Britain.  ","1,3. Missouri Botanical Garden; http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=261946&isprofile=1&basic=Achillea%20ptarmica  1,5. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Achillea+ptarmica  1. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=ACPT  2,4. Klein, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Achillea_ptarmica_BIO_ACPT.pdf  2,8. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/achillea/ptarmica/  2,4. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=250066004  6. Seedaholic; https://www.seedaholic.com/achillea-ptarmica-the-pearl.html  7. Dave's Garden; https://davesgarden.com/guides/pf/go/53525/  8. GBIF; https://www.gbif.org/species/3120333  8. Global Compendium of Weeds; http://www.hear.org/gcw/species/achillea_ptarmica/",2,Low,"1. Achillea ptarmica spreads slowly by rhizomes and can naturalize into colonies over time if left alone. 2. As light is needed for seed germination, sneezewort may not germinate well in areas with established vegetation.  3. This species hybridizes freely with other members of its genus.  4. This species a known agricultural weed in cereal crops fields.  5. Also this species is toxic to cats, dog, horses.","1. Missouri Botanical Garden; http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=261946&isprofile=1&basic=Achillea%20ptarmica  2. Klein, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Achillea_ptarmica_BIO_ACPT.pdf  3. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Achillea+ptarmica  4. Mukula et al., 1969; https://jukuri.luke.fi/bitstream/handle/10024/469483/mtt-aaf-v8-n2.pdf?sequence=1  4. Global Compendium of Weeds; http://www.hear.org/gcw/species/achillea_ptarmica/  5. Gardeners' World; https://www.gardenersworld.com/plants/achillea-ptarmica-the-pearl/",24,Low,"Achillea ptarmica is a weedy ornamental that has the climate tolerance to survive in Florida, but does not seem to be a popular plant in gardens in southern North America. Sneezewort can easily established through both seeds and vegetatively in a range of disturbed habitat types. This species is also known to be a weed of agriculture. However, we found a lack of evidence of direct competition with native species in areas where it has naturalized and detection may be difficult given how it hybridizes with other species in this genus.  ","1. Dave's Garden; https://davesgarden.com/guides/pf/go/53525/  2. Klein, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Achillea_ptarmica_BIO_ACPT.pdf  3. Global Compendium of Weeds; http://www.hear.org/gcw/species/achillea_ptarmica/  4. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Achillea+ptarmica",Petri (for Gordon),4/8/20,Anderson,
Potentilla verna,"Potentilla neumanniana, Potentilla tabernaemontani",spring cinquefoil,Plant,Primary producer,Europe,T,Escape from confinement,SERNEC,1,Medium,Purchased in California; Found in lawns in Connecticut and Michigan,SERNEC herbarium specimens,3,Very Low,Found in lawns in northern US climates,SERNEC,1,Very Low,Undocumented impacts,,3,Low,"Not much literature on this plant, but was sold ornamentally.",SERNEC,Pfingsten,4/21/20,Anderson,
Torilis japonica,"Torilis anthrisca, Torilis convexa",erect hedgeparsley,Plant,Primary producer,Eurasia,T,Transport stowaway,SERNEC,3,Medium,Found along roadsides in Texas and Oklahoma. Possible hitch hiker,SERNEC,1,High,Requires cold stratification to break seed dormancy (four months at or below 5° C),"Baskin, J. M., & Baskin, C. C. (1975). Ecophysiology of seed dormancy and germination in Torilis japonica in relation to its life cycle strategy. Bulletin of the Torrey botanical club, 67-72.

DiTommaso, A., Darbyshire, S. J., Marschner, C. A., & Averill, K. M. (2014). North-East, North-Central, Mid-Atlantic United States and Southern Canada: Japanese Hedgeparsley (Torilis japonica)—A New Invasive Species in the United States?. Invasive Plant Science and Management, 7(4), 553-560.

Vandelook, F., Bolle, N., & Van Assche, J. A. (2008). Seasonal dormancy cycles in the biennial Torilis japonica (Apiaceae), a species with morphophysiological dormancy. Seed Science Research, 18(3), 161-171.",1,High,Spreads rapidly (annual life history),"DiTommaso, A., Darbyshire, S. J., Marschner, C. A., & Averill, K. M. (2014). North-East, North-Central, Mid-Atlantic United States and Southern Canada: Japanese Hedgeparsley (Torilis japonica)—A New Invasive Species in the United States?. Invasive Plant Science and Management, 7(4), 553-560.",3,High,Not suitable to tropical climate and requires long cold period to break physical dormancy,"SERNEC

DiTommaso, A., Darbyshire, S. J., Marschner, C. A., & Averill, K. M. (2014). North-East, North-Central, Mid-Atlantic United States and Southern Canada: Japanese Hedgeparsley (Torilis japonica)—A New Invasive Species in the United States?. Invasive Plant Science and Management, 7(4), 553-560.",Pfingsten,4/9/20,Anderson,
